title,artist,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Chicken Fried,Zac Brown Band,0LQtEJt7x0s6knb6RKdRYc,country,0.566,0.713,6,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861
Walkin' After Midnight,Patsy Cline,22IXwYrhwf2mYCkVlF0Ulo,country,0.765,0.33,0,-7.95,1,0.0308,0.573,0.0,0.173,0.82,89.974
My Maria - with Thomas Rhett,"Brooks & Dunn, Thomas Rhett",64vkacv9XtTjAQSosbUbW2,country,0.624,0.807,3,-6.319,1,0.0361,0.00581,0.000267,0.0851,0.649,125.019
Alright,Darius Rucker,5JlH51YDYsGj2dyEJKKjcN,country,0.601,0.806,7,-4.579,1,0.0345,0.0527,0.0,0.185,0.711,89.87
"Mammas, Don't Let Your Babies Grow Up to Be Cowboys","Waylon Jennings, Willie Nelson",1gKSpFpX3poa17WIAyFVsp,country,0.592,0.422,9,-11.549,1,0.0332,0.614,0.0015,0.158,0.536,94.597
If Tomorrow Never Comes,Kent Blazy & Garth Brooks,6J4WWvwcWoW1DiZFoE7YfX,country,0.581,0.165,7,-9.864,1,0.0352,0.832,0.0,0.104,0.403,76.496
Need You Now,Lady A,11EX5yhxr9Ihl3IN1asrfK,country,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943
Daddy Sang Bass,Johnny Cash,15TITugVC8RrpLctHXOqT8,country,0.681,0.638,4,-7.818,1,0.0367,0.699,0.000629,0.0581,0.677,96.882
Landslide,The Chicks,5hviCr3lgg6LY6noG6DPKs,country,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56e-05,0.187,0.444,145.948
9 to 5,Dolly Parton,4w3tQBXhn5345eUXDGBWZG,country,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39
The Battle Of New Orleans,Johnny Horton,1XRA4Tjb2YrcQU5ThDllCw,country,0.703,0.753,9,-11.783,1,0.135,0.803,0.0,0.0997,0.921,177.162
God Gave Me You,Blake Shelton,03IdmP4frla6BCFZH6rkaF,country,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977
Gentle On My Mind - Remastered 2001,Glen Campbell,0mLoTgCB8oU0sJGojRtvDu,country,0.597,0.415,3,-13.799,1,0.0323,0.189,0.0,0.123,0.826,108.987
The Night The Lights Went Out In Georgia,Reba McEntire,2MiXC2LfpsoeUP5RvMGEQ3,country,0.428,0.51,7,-11.695,0,0.103,0.52,8.32e-06,0.105,0.393,169.967
Jambalaya (On The Bayou),"Hank Williams, Drifting Cowboys",0iSgP007c2uYck3dq5ltIM,country,0.497,0.188,7,-15.623,1,0.0324,0.891,2.35e-06,0.0901,0.909,164.253
Mud On the Tires,Brad Paisley,2rQyI7A1yTvTXJ9J4qFmmN,country,0.448,0.824,2,-5.508,1,0.0478,0.294,3.81e-05,0.662,0.463,185.217
Independence Day,Martina McBride,2jOkuPweyFcDBBBF8ZW8Zr,country,0.693,0.683,9,-4.575,1,0.0292,0.275,0.000101,0.0954,0.748,118.388
The Fightin' Side Of Me,Merle Haggard,7tvnZH4Db2zylKHo7ojKH1,country,0.754,0.497,4,-11.14,1,0.039,0.368,0.0,0.193,0.789,95.502
Should've Been A Cowboy,Toby Keith,4EDBgrYqYQ6b50yhJWKsHp,country,0.579,0.731,7,-5.659,1,0.0323,0.244,0.0,0.297,0.618,133.582
I Walk the Line,Johnny Cash,7hxZF4jETnE5Q75rKQnMjE,country,0.713,0.258,9,-14.59,1,0.0384,0.877,0.00606,0.0967,0.56,98.805
Drivin' My Life Away,Eddie Rabbitt,3PJ9yQv8IUmLx24KFvaVEI,country,0.66,0.639,9,-12.749,1,0.0369,0.0966,0.00104,0.0442,0.843,84.124
Gettin' You Home,Chris Young,28Sc21lrWcZD9Ov4rRkPJq,country,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966
Hello Walls,Faron Young,4dim8F8t01qimHOmr6S3Gd,country,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73e-06,0.114,0.695,101.489
Margaritaville,Jimmy Buffett,4EEjMyQub6tgFVshlM9j1M,country,0.8,0.545,2,-13.637,1,0.0357,0.711,0.00191,0.104,0.861,124.943
Drink A Beer,Luke Bryan,1PoGWZbJPGmViVi7CYbDUK,country,0.483,0.431,8,-7.656,1,0.0343,0.836,5.19e-05,0.199,0.296,78.26
Tulsa Time,Don Williams,0cThXovxrvU68JuzYUXhJT,country,0.916,0.57,4,-13.011,1,0.0334,0.458,0.000721,0.0595,0.957,104.415
Big Bad John,Jimmy Dean,61uAY9xdzYiIbYJ07XvKso,country,0.516,0.457,8,-12.609,1,0.184,0.596,0.0,0.106,0.455,173.934
She Don't Know She's Beautiful,Sammy Kershaw,2oyS4THTUzUxT2lnHGzzIr,country,0.764,0.646,9,-9.424,1,0.0302,0.367,0.0,0.0849,0.877,116.141
Drunk On A Plane,Dierks Bentley,1soxUgYIZb1qx1c7o1Lc7z,country,0.423,0.73,9,-5.566,1,0.032,0.00495,1.13e-05,0.238,0.66,205.972
"Louisiana Woman, Mississippi Man","Conway Twitty, Loretta Lynn",02sENi9ULQ36x9mKo5B7XW,country,0.62,0.711,1,-6.943,1,0.035,0.477,0.000168,0.0812,0.96,98.263
Smoky Mountain Rain,Ronnie Milsap,7CX9JYwpiObnYl2NzFqj4c,country,0.554,0.577,7,-8.62,1,0.0282,0.0165,2.91e-05,0.0719,0.479,140.277
Dang Me,Roger Miller,20iH1uibQIUqNFk3wzG7AG,country,0.564,0.378,9,-14.468,1,0.168,0.705,0.000716,0.0723,0.687,197.325
Something Like That,Tim McGraw,1zG6cEmeo4rv7Old8XD7vC,country,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8
Is Anybody Going To San Antone (feat. Charley Pride),Charley Pride,6wAD64HhuMcXGA4Z64BLqq,country,0.679,0.557,2,-10.482,1,0.0378,0.826,6.46e-06,0.959,0.769,119.06
Let Your Love Flow,The Bellamy Brothers,064SVQsmWl5EF0zahmzkQk,country,0.679,0.553,3,-14.687,1,0.0316,0.0611,7.16e-06,0.139,0.946,109.071
Sixteen Tons,Tennessee Ernie Ford,3P6OwCX7Ofiaaqtvujb6i5,country,0.693,0.324,11,-15.085,1,0.205,0.796,0.0,0.246,0.382,144.14
She Thinks My Tractor's Sexy,Kenny Chesney,3QV7NYkrmV0Q0IHdFJw9hO,country,0.689,0.886,10,-7.066,0,0.0382,0.0664,0.0,0.278,0.906,122.07
I'm So Lonesome I Could Cry,Hank Williams,0hveAq1VSNWo9MQYGMHvFF,country,0.678,0.218,4,-13.084,1,0.0288,0.874,0.000697,0.125,0.652,110.964
If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama,225W9qCk2o51QyFZiEVDW9,country,0.522,0.651,9,-9.817,1,0.0465,0.115,0.0,0.0585,0.818,111.01
Honey Bee,Blake Shelton,0U3xEfWLX4slslHJaAorSw,country,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57
Blue Eyes Crying In the Rain,Willie Nelson,2uRVPeQbsEpRQD0DKr1WTo,country,0.626,0.04,4,-19.994,1,0.0405,0.928,0.00178,0.11,0.418,117.136
Amazed,Lonestar,6iNcyWk5iUEY7P9zeTc5hm,country,0.557,0.553,1,-7.954,1,0.0319,0.247,0.0,0.125,0.253,139.821
I'm Comin' Over,Chris Young,0H04yVa3DJxoXbLBpAb7iV,country,0.575,0.845,10,-3.838,1,0.035,0.0282,0.0,0.0814,0.376,127.997
I've Got A Tiger By The Tail - 2006 Remastered Version,Buck Owens,1GDAvJth0ebssC2XkG7RYM,country,0.701,0.497,4,-10.05,1,0.0316,0.595,3.12e-05,0.118,0.963,96.513
Angel Of The Morning,Juice Newton,6NVB6W7G3svCKe5zB7kY8q,country,0.456,0.233,8,-12.634,1,0.0255,0.433,6.42e-05,0.0538,0.424,75.174
Ode To Billie Joe,Bobbie Gentry,4FdDorlbJTVHcH3djLbIfn,country,0.637,0.189,7,-10.726,1,0.0471,0.721,0.0,0.0939,0.695,120.142
Young,Kenny Chesney,3tHPjLBakLS48aumhFpJMt,country,0.684,0.84,9,-5.753,1,0.0433,0.0278,0.0,0.329,0.682,125.801
Crazy,Linda Ronstadt,79EctjVa6Z8tDmjnGWC03c,country,0.461,0.0262,11,-23.805,1,0.0368,0.539,0.000422,0.111,0.283,112.489
Chug-A-Lug,Roger Miller,3vMwtAfDNM8dDBWMvS78pn,country,0.699,0.408,11,-11.46,1,0.096,0.69,0.000219,0.145,0.842,171.922
Meet In the Middle,Diamond Rio,7lUE02KHkZM44BZgjCaWRO,country,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11
I Love,Tom T. Hall,2vhFsRat25P9D8rweQF1Jq,country,0.552,0.166,4,-19.499,1,0.0283,0.772,0.0315,0.135,0.56,92.049
Watching Airplanes,Gary Allan,63u5QGp9dKXAoYTVKUKBYn,country,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001
Sweet Dreams (Of You) - Single Version,Patsy Cline,2JKPDzbXrFT3rCFcUtVzoT,country,0.344,0.12,8,-16.647,1,0.0366,0.972,5.23e-05,0.359,0.304,125.997
I Cross My Heart - Pure Country Soundtrack Version,George Strait,6FHXJu99aQAUnivEjPhuUR,country,0.526,0.442,3,-10.133,1,0.0259,0.267,5.49e-05,0.106,0.284,131.055
Tennessee Flat-Top Box,Johnny Cash,7robBaDSeyFRaxT0QhBifa,country,0.659,0.724,5,-8.175,0,0.0322,0.261,0.00176,0.363,0.862,97.544
Good Directions,Billy Currington,7GQjJEwqlp6m5HNWVQd6OR,country,0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512
She's In Love With The Boy,Trisha Yearwood,4EJvW4NHAk7TrIeX44jjXF,country,0.753,0.822,3,-4.914,1,0.031,0.518,1.72e-06,0.125,0.765,125.0
"Cold, Cold Heart","Hank Williams, Drifting Cowboys",1l5WwxtivtUrg1SCHYzFls,country,0.575,0.0767,2,-17.308,1,0.0433,0.937,0.0,0.198,0.401,113.404
Remind Me (with Carrie Underwood),"Brad Paisley, Carrie Underwood",4ABua0yuWcpTotImEEJTaw,country,0.485,0.726,5,-4.2,1,0.0327,0.0603,1.75e-05,0.225,0.288,140.781
She's All I Got,Johnny Paycheck,3w3vrnY530BeHUDWRcHrp9,country,0.627,0.426,10,-15.524,1,0.0377,0.685,0.0,0.112,0.841,138.278
Lady,Kenny Rogers,5Pj5zrq2nbKcAekH1AxbrO,country,0.362,0.183,3,-16.0,0,0.0347,0.861,0.000234,0.0932,0.2,136.646
You Ain't Woman Enough,Loretta Lynn,5XOM6Neo5IACRMhvd2ibKA,country,0.744,0.455,8,-7.543,1,0.0366,0.634,0.0,0.0526,0.905,75.281
Take A Back Road,Rodney Atkins,7B6m8tHAYZsOKOKMU5SR2n,country,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.902
Last Date - Remastered,Floyd Cramer,1mcNoPKzV3AqlkRW04SWvr,country,0.256,0.417,0,-9.395,1,0.0356,0.731,0.000381,0.132,0.567,205.439
Desperado - (Live),Clint Black,64wIcMPOnEyBuxSTOU3KUj,country,0.424,0.313,6,-11.334,1,0.0359,0.716,0.0,0.951,0.374,115.084
Highwayman,"The Highwaymen, Willie Nelson, Johnny Cash, Waylon Jennings, Kris Kristofferson",7jWbXvrgdbkajU8L28ahn5,country,0.67,0.351,2,-16.842,1,0.0463,0.48,0.0176,0.115,0.45,101.384
That's What I Love About Sunday,Craig Morgan,1fmi1hOBtH8xfUiWz4LVtE,country,0.6,0.56,8,-6.311,1,0.0325,0.479,0.0,0.111,0.417,139.469
Amarillo By Morning,George Strait,4TnUKixNWMfajncgdSwFoi,country,0.606,0.361,9,-16.031,1,0.0346,0.264,3.39e-05,0.38,0.621,121.059
Devil Woman,Marty Robbins,58ojWS1EGL6z5rEOELtJmH,country,0.684,0.277,4,-13.1,1,0.0533,0.921,6.54e-06,0.124,0.642,145.155
Don't Think I Don't Think About It,Darius Rucker,0XfFxeXzMkIy5SWAVpOQin,country,0.578,0.752,9,-5.264,1,0.033,0.0275,0.0,0.125,0.405,149.689
Rose Garden,Lynn Anderson,5YwgJ6lpZ3SiAQwBEpjqey,country,0.589,0.501,0,-11.665,1,0.031,0.168,0.0,0.0741,0.969,131.064
Little Bitty,Alan Jackson,2CBRlZtrYrhd8XXFFDSxAl,country,0.563,0.796,4,-7.604,1,0.0409,0.15,0.0,0.355,0.741,162.88
Help Me Make It Through The Night,Sammi Smith,2XWmbwp9FBAaFcSE9BLQzc,country,0.559,0.35,8,-12.01,1,0.0245,0.605,0.000443,0.102,0.413,78.035
Nineteen Somethin',Mark Wills,56coXX3B2Jns6jxbssJv0y,country,0.593,0.679,4,-5.297,1,0.0329,0.618,1.04e-05,0.171,0.574,89.188
The Race Is On,George Jones,1q0SkvboXCdVQauHBzVr9z,country,0.578,0.56,9,-11.873,1,0.0398,0.723,1.68e-05,0.119,0.875,85.541
Flowers On the Wall,The Statler Brothers,7ledv9CTjqdwnvHgRmETyZ,country,0.784,0.451,8,-11.225,0,0.0723,0.792,4.09e-05,0.115,0.78,100.303
I Can Love You Like That,John Michael Montgomery,19lw4C2aW6TYvxqRsek2Kd,country,0.655,0.336,11,-11.049,1,0.0264,0.302,0.0,0.343,0.203,88.554
Walk on By,Leroy Van Dyke,2EI50XcYPyKjx4rGbgihAk,country,0.568,0.62,10,-7.69,1,0.0403,0.798,0.000149,0.165,0.964,135.187
What Hurts The Most,Rascal Flatts,4bVuIlGQBMWS7vIhcx8Ae4,country,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002
Jackson,"Johnny Cash, June Carter Cash",5fcxVCOtfesNzI2n4Y4kiJ,country,0.741,0.615,0,-8.072,1,0.0358,0.519,0.000344,0.408,0.799,128.496
I Love a Rainy Night,Eddie Rabbitt,0zvNHIL7ci0ZzIoWU6RO2u,country,0.685,0.718,0,-7.724,1,0.0521,0.122,0.0,0.0556,0.958,131.463
Oh Lonesome Me,Don Gibson,7pE3xCbi3P4OyHWzONRZwB,country,0.676,0.827,10,-6.919,1,0.0354,0.749,1.01e-06,0.0676,0.947,102.9
Just Got Started Lovin' You,James Otto,4b0XF7CDpJEBAdVHMw7amV,country,0.705,0.606,7,-7.047,1,0.0243,0.159,0.00149,0.242,0.876,98.001
The Most Beautiful Girl,Charlie Rich,5kXmiepRVuKhhz0SxyCVeL,country,0.566,0.409,7,-10.379,1,0.0265,0.702,3.36e-06,0.101,0.458,103.233
Fishin' in the Dark,Nitty Gritty Dirt Band,7lJbTVbDEMa3w7NFamrwdq,country,0.771,0.283,2,-16.326,1,0.0444,0.198,0.0,0.0888,0.906,77.756
D-I-V-O-R-C-E,Tammy Wynette,4JPEuPsDG3nNJMAvvQ2Rr3,country,0.628,0.383,9,-9.216,1,0.0296,0.826,0.0,0.151,0.564,99.789
Suds in the Bucket,Sara Evans,6NhpIdjYoufuNNlBsgOztc,country,0.511,0.903,10,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992
Mama Tried,Merle Haggard & The Strangers,04ilBEd1FVUhpv9ItR6yTN,country,0.694,0.489,2,-13.119,1,0.0535,0.744,2.59e-06,0.079,0.695,97.982
Wish I Didn't Know Now,Toby Keith,3acc39xylOcBe7hIMkdeum,country,0.771,0.797,7,-5.734,1,0.0357,0.369,4.02e-06,0.306,0.807,116.948
Don't Happen Twice,Kenny Chesney,04ccQGJ1i8gL7JoeCPiJbv,country,0.499,0.708,7,-7.029,1,0.0301,0.00626,1.15e-05,0.0423,0.617,158.785
My Heroes Have Always Been Cowboys - Live,"Willie Nelson, Chris Stapleton",6LwFptnDWoGKTdhAFNjVQF,country,0.255,0.417,7,-10.918,1,0.0538,0.817,0.0413,0.769,0.346,79.532
Where The Green Grass Grows,Tim McGraw,0nDjzA4kns1QOWPXuOn6Xw,country,0.479,0.698,7,-7.914,1,0.0277,0.198,0.0,0.126,0.673,159.699
Act Naturally,Buck Owens,3JWEMzwpcWCvu4Qw1BIbYi,country,0.552,0.474,7,-6.847,1,0.0275,0.336,0.0,0.173,0.7,92.156
It Won't Be Like This For Long,Darius Rucker,4gzeYkzuzxuzAUTsGcdjqA,country,0.584,0.524,4,-6.001,1,0.0287,0.335,0.0,0.11,0.389,143.863
Queen Of Hearts,Juice Newton,6xBUWSz8INNHO6wFYuPtQl,country,0.669,0.779,2,-11.522,1,0.0533,0.211,8.98e-05,0.132,0.975,169.478
